"id";"updatedAt";"createdAt";"name";"description";"abvAvg";"abvMax";"abvMin";"ebcAvg";"ebcMax";"ebcMin";"tasteFruity";"tasteBitter";"tasteIntensity";"tasteSour";"tasteSweet";"originId";"originName";"categoryId";"categoryName";"biabCategoryId";"biabCategoryName"
"156";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Winterbier";"Een donker, krachtig en gekruid bier met een volle, romige body dat een fijn verwarmend gevoel moet geven. Het is een bier wat goed bij de wintermaanden past, en het hogere alcoholgehalte zorgt er wel voor dat je er warmpjes bij zit.";"9";"12.0";"6.5";"47";"79";"16";"4";"3";"6";"1";"7";"25";"Internationaal";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"159";"2021-03-09 12:01:40 +0100";"2021-02-22 13:50:51 +0100";"Witbier";"Een uitgebalanceerd, lichtgekleurd, troebel blond bier. De smaak is fris met een zeer licht zuurtje, echt een zomerbier. Wordt vaak geserveerd met een schijfje citroen, dat is wel funest voor de schuimkraag…";"5";"5.5";"4.5";"6";"8";"4";"4";"3";"4";"1";"6";"55";"Nederland";"483";"Lichtgekleurd, laag alcohol";"6";"Fris & Fruitig"
"162";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Oktoberfest";"Een gemakkelijk doordrinkbare Duitse lager waarbij de moutige en licht hoppige smaak mooi in balans is. Het is een belichaming van de Duitse mouten en hoppen die gebrouwen is om veel van te drinken; de afdronk van Festbier nodigt uit tot een volgende slok. Traditioneel gebrouwen voor het Oktoberfest.";"6";"6.3";"5.8";"11";"14";"8";"2";"4";"3";"0";"3";"7";"Duitsland";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"165";"2021-03-09 12:01:47 +0100";"2021-02-22 13:50:51 +0100";"Stout";"Een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook tonen van karamel.";"6";"6.5";"5.5";"64";"79";"50";"0";"5";"6";"0";"3";"25";"Internationaal";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"168";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Irish Red Ale";"Een gemakkelijk doordrinkbaar, roodgekleurd bier. De smaak is licht moutig met tonen van toffee en karamel. Ook proef je brood-achtige smaken vanuit de mout, en een klein beetje roast. Ze kunnen variëren van een droge roasty red ale tot een volle, lichtzoete moutige red ale.";"4";"5.0";"3.8";"23";"28";"18";"3";"5";"4";"0";"3";"37";"Ierland";"483";"Lichtgekleurd, laag alcohol";"21";"Donker & Rijk"
"171";"2021-03-09 12:01:51 +0100";"2021-02-22 13:50:51 +0100";"Porter";"Een donkergekleurd moutig bier waarbij de basis van de smaak uit de mouten komt; lichte roast-tonen en karamel. Het bier is mooi vol en soepel.";"4";"5.4";"4.0";"49";"59";"40";"1";"3";"5";"0";"4";"25";"Internationaal";"492";"Donkergekleurd, laag alcohol";"18";"Intens & Uitdagend"
"174";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Alt";"Gebalanceerd, droog, bitter en moutig clean, amber tot koperkleurige Duitse ale. De bitterheid wordt gebalanceerd met de moutigheid, en de intensiteit van deze moutigheid kan variëren van gemiddeld tot hoog. De bitterheid past zich hierop aan.";"4";"5.5";"4.3";"28";"34";"22";"2";"6";"5";"1";"4";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"15";"Bitter & Growl"
"177";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Imperial Red Ale";"Een bovengistend bier met een dieprode kleur. De meest aanwezige smaak is karamelmout, maar er is zeker balans met de moutbitter. Gistprofiel is vaak niet aanwezig, mondgevoel is medium tot vol, en wegens het hogere alcoholpercentage intenser en smaakvoller dan de ""gewone"" red ale.";"9";"12.0";"6.3";"31";"44";"18";"5";"7";"6";"0";"4";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"15";"Bitter & Growl"
"180";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Roggewijn";"Een interpretatie van een andere bierstijl waarin een groot deel rogge is gebruikt. Het bier is hoog in alcohol. Het kan qua smaak en aroma doen denken aan een barleywine, waarvan de body erg vol is en het wat zoetig overkomt.";"10";"12.0";"8.0";"61";"99";"24";"2";"4";"7";"2";"8";"25";"Internationaal";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"183";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Helles";"Een ondergistend bier uit Munchen, vergelijkbaar met een pilsner maar iets zoeter en wat minder bitter. De afdronk is wel droog, en het bier is zeker niet te zoet; een balans is nog goed aanwezig.";"5";"5.4";"4.7";"8";"10";"6";"1";"3";"3";"0";"2";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"186";"2021-03-30 14:41:50 +0200";"2021-02-22 13:50:52 +0100";"Belgische IPA";"Een Belgische interpretatie van de Amerikaanse stijl IPA. Het verschil met de American IPA (droog, blond, bitter en hoppig) is dat de Belgische IPA meer invloeden van de gist heeft, zoals bijvoorbeeld een Tripel of Blond dat ook heeft. Er worden vaak wel new world hoppen gebruikt.";"7";"9.5";"6.2";"20";"30";"10";"6";"5";"5";"1";"4";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"189";"2021-02-25 11:08:47 +0100";"2021-02-22 13:50:52 +0100";"Amerikaanse Lichte Lager";"Een lichtere en lager alcoholische variant van de American Lager; Een zeer lichtgekleurd droog bier met relatief veel koolzuur. Gemiddeld genomen is de smaak wat minder intens dan Nederlands pils. Het smaakprofiel is neutraal met een lage bitterheid, en de afdronk is droog, wat uitnodigt tot een volgende slok.";"3";"4.2";"2.8";"5";"6";"4";"2";"3";"2";"0";"2";"1";"Amerika";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"192";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Honingbier";"Een verzamelnaam voor bieren waar honing aan wordt toegevoegd. Veel vaker wordt een honingbier in haar eigen categorie ingedeeld, zoals dubbel, zwaar blond etc.";"8";"15.0";"2.5";"50";"100";"0";"5";"5";"5";"2";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"21";"Donker & Rijk"
"195";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Amerikaanse Lager";"Een zeer lichtgekleurd droog bier met relatief veel koolzuur. Gemiddeld genomen is de smaak wat minder intens dan Nederlands pils. Het smaakprofiel is neutraal met een lage bitterheid, en de afdronk is droog, wat uitnodigt tot een volgende slok.";"4";"5.3";"4.2";"6";"8";"4";"1";"4";"2";"0";"1";"1";"Amerika";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"198";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Braggot";"Een blend tussen een mede en bier.";"10";"18.0";"3.5";"51";"99";"4";"2";"4";"8";"0";"6";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"18";"Intens & Uitdagend"
"201";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Session IPA";"Een lichtere variant van de IPA (droog, blond, bitter en hoppig) waarin van alles wat minder gebruikt is. Het bier is minder bitter, minder hoppig, lager in alcohol en iets minder fruitig dan de normale IPA. Dat maakt de stijl een heerlijk ""sessie-bier"", een verfrissend bier waarvan je er eenvoudig meerdere achter elkaar kunt drinken (maar wel met mate).";"4";"5.0";"3.7";"15";"24";"6";"5";"5";"5";"0";"2";"1";"Amerika";"483";"Lichtgekleurd, laag alcohol";"15";"Bitter & Growl"
"204";"2021-02-25 11:08:49 +0100";"2021-02-22 13:50:52 +0100";"Moutlikeur";"Andere naam voor Malt Beer; dranken die gecombineerd zijn met alcohol verkregen uit mout (bierbasis). Hierbij kun je denken aan alcoholhoudende koffie, alcoholhoudende thee, alcoholhoudende limonade, etc. De smaak is uiteraard sterk afhankelijk van de basisdrank die is gebruikt. Je komt het niet veel tegen!";"8";"15.0";"2.5";"54";"100";"8";"5";"5";"5";"1";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"27";"Overig"
"207";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Black IPA";"Een donkere variant van de American IPA (droog, blond, bitter en hoppig). De Black IPA is donkerbruin tot zwart van kleur (oogt als een stout) en heeft door het gebruik van roastmouten ook nog lichte roast-toetsen.";"7";"9.0";"5.5";"64";"79";"50";"6";"8";"7";"1";"2";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"210";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Zure IPA";"Een variant van de IPA (droog, blond, bitter en hoppig) waarvan de basis wat zuurder is. Het zure kan zijn verkregen door kettle souring of door het gebruiken van (gist)culturen die melkzuur produceren. Door het zure element in de IPA, maakt het de IPA frisser en doordrinkbaarder, als je van zuur houdt tenminste.";"7";"8.5";"5.5";"20";"30";"10";"8";"3";"7";"6";"1";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"12";"Wild & Zuur"
"213";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Oatmeal Stout";"Een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook tonen van karamel. Door het gebruik van haver(mout) krijgt het bier een wat romiger mondgevoel en een dikkere body. Hierdoor kan het bier iets zoeter ervaren worden.";"5";"5.9";"4.2";"61";"79";"44";"1";"3";"4";"0";"4";"1";"Amerika";"492";"Donkergekleurd, laag alcohol";"18";"Intens & Uitdagend"
"216";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Traditioneel Bier";"Een verzamelnaam voor traditionele, vaak lokale bieren.";"8";"15.0";"2.5";"50";"100";"0";"5";"5";"5";"2";"5";"25";"Internationaal";"489";"Donkergekleurd, hoog alcohol";"27";"Overig"
"219";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Sahti";"Een zoet, zwaar en sterk traditioneel Fins bier. Gebrouwen met rogge en jeneverbes, sinds omstreeks de 15e eeuw. Het bier wordt niet gekookt, maar na de maisch gefilterd door een laag stenen met daarop jeneverbestakken en bladeren. Het bier kan banaan-achtige esters (zoals in een Weizen) van de gist hebben.";"9";"11.0";"7.0";"26";"44";"8";"4";"1";"7";"3";"7";"97";"Finland";"480";"Overige stijlen of fermentaties";"21";"Donker & Rijk"
"222";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"NEDIPA";"Een zwaardere variant op de New England IPA (romig, blond, niet te bitter en enorm fruitig hoppig) waarbij meer hop is gebruikt en het alcoholpercentage wat hoger ligt.";"9";"11.0";"8.0";"14";"18";"10";"9";"2";"7";"0";"7";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"225";"2021-02-25 11:08:51 +0100";"2021-02-22 13:50:52 +0100";"Dubbele Baltic Porter";"De zware variant van de Scandinavische interpretatie van de porter; Een donkergekleurd moutig bier waarbij de basis van de smaak uit de mouten komt; lichte roast-tonen en karamel. Het bier is mooi vol en soepel. Deze variant wordt vaak met lagergist gebrouwen en zal minder roast-tonen hebben dan de gemiddelde porter. De Imperial Baltic Porter is nog wat hoger in alcohol dan zijn ""normale"" variant.";"11";"14.0";"8.5";"66";"99";"34";"0";"4";"7";"0";"3";"231";"Scandinavië";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"228";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Alcoholvrij";"Een non-alcoholische variant van een bierstijl. Geur, smaak en uiterlijk zijn volledig afhankelijk van de bierstijl waarvan de alcoholvrije variant is gebrouwen. Alcoholvrij brouwen wordt op twee manieren gedaan. Je kunt brouwen zonder alcohol te produceren, of je kunt later de alcohol uit het bier destilleren.";"0";"0.5";"0.0";"52";"100";"4";"5";"5";"5";"2";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"27";"Overig"
"231";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Lambiek";"Een bier van spontane gisting, geproduceerd in de Zenne-vallei rondom Brussel. Het wordt gebrouwen met een groot deel tarwe, en door de spontane gisting is het bier licht-zurig van smaak. Hop-bitterheid is moeilijk tot niet waarneembaar. Het bier is lichtgekleurd en heeft allerlei ""funky"" aroma's en smaken. Een lambiek is ""plat"", er zit geen koolzuur op.";"5";"6.5";"5.0";"10";"14";"6";"5";"0";"9";"6";"1";"31";"België";"483";"Lichtgekleurd, laag alcohol";"12";"Wild & Zuur"
"234";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"DIPA";"Een zwaarde variant van de IPA (droog, blond, bitter en hoppig) waarin alles ""dubbel"" is. Het bier is bitterder, hoppiger, sterker en fruitiger dan de normale IPA. Vergelijkbaar met een Amerikaanse Barleywine, maar dan zonder de moutigheid en het zoetige van die barley. Doordrinkbaarheid moet nog goed zijn.";"8";"10.0";"7.5";"20";"28";"12";"7";"9";"8";"0";"3";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"237";"2021-02-22 13:50:52 +0100";"2021-02-22 13:50:52 +0100";"Bitter";"Een smaakvol en verfrissend ""sessie-bier"". Sommige varianten zijn wat moutiger dan anderen, maar de moutigheid mag nooit de bitterheid van het bier overstemmen. Doordrinkbaarheid is belangrijk bij deze stijl. De smaak is voornamelijk bitter, met een bescheiden moutigheid om de bitter te ondersteunen. Het bier is altijd laag in alcohol.";"4";"4.6";"3.8";"24";"32";"16";"2";"5";"4";"0";"3";"19";"Groot Brittanië";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"240";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Imperial Pils";"Een hoger alcoholische variant van de Pilsner; een fris, verfrissend licht hoppig en licht moutig bier. Gebrouwen met lager-gist, wat een ""cleane"" smaak geeft, waardoor de smaken van mout en hop mooi naar voren komen. Blond, helder en vanwege het hogere alcoholpercentage niet zo gemakkelijk doordrinkbaar als de ""normale"" pilsner.";"7";"8.5";"5.8";"16";"24";"8";"1";"3";"5";"0";"3";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"243";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Internationale IPA";"Een internationale variant op de IPA, die qua smaken en aroma's tussen de Britse en de Amerikaanse IPA in zit.";"6";"7.5";"5.5";"20";"30";"10";"7";"7";"6";"0";"2";"25";"Internationaal";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"246";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Japanse Lager";"Een Japanse variant op de ondergistende bieren van het westen, waarbij rijst gebruikt wordt in het brouwproces. Hierdoor wordt het bier nog droger en daardoor verfrissender. Voorbeelden zijn Sapporo en Asahi.";"5";"6.1";"4.2";"5";"6";"4";"2";"3";"3";"0";"1";"46";"Japan";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"249";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Imperial White Stout";"Eigenlijk is dit geen stout, maar een zwaar blond bier. In een white stout worden de smaken van een stout geïmiteerd door ingrediënten toe te voegen die die smaken in zich hebben. Hierbij moet je denken aan koffie, cacaobonen, tonkabonen, etc. De kleur van het bier is dus blond, maar de smaak zal enigszins richting die van een stout gaan. De imperial white stout heeft een hoger alcoholpercentage dan de standaard white stout.";"9";"12.0";"6.5";"18";"32";"4";"4";"5";"6";"0";"4";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"252";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Export Stout";"Een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook veel tonen van karamel. Deze export stout was zwaarder dan de stouts die in het Verenigd Koninkrijk gebrouwen werden, en werd speciaal voor de export gebrouwen. Een bekend voorbeeld is de Export Stout van Guinness die speciaal voor de Belgische markt geproduceerd werd.";"6";"8.0";"5.6";"89";"99";"79";"1";"6";"7";"0";"4";"19";"Groot Brittanië";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"255";"2021-02-25 11:08:46 +0100";"2021-02-22 13:50:53 +0100";"Lichtgekleurd Belgisch Bier";"Een bovengistend complex blond Belgisch biertype, zoet met een klein bittertje. De smaak is een samenspel van kruidige, fruitige en alcoholische smaken, ondersteund door een zachte moutigheid.";"8";"9.5";"7.5";"11";"14";"9";"4";"5";"5";"1";"6";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"258";"2021-03-09 12:02:03 +0100";"2021-02-22 13:50:53 +0100";"Weizen";"Een bovengistend Duits tarwebier met uitgesproken fruitige smaken van de gist die vaak met banaan geassocieerd worden. Verder is kruidnagel vaak waarneembaar. Het bier is fris, troebel van de gebruikte tarwe en eenvoudig drinkbaar.";"5";"5.9";"4.5";"15";"25";"6";"6";"2";"5";"1";"4";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"6";"Fris & Fruitig"
"261";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Dubbelbock";"Een zwaardere variant van de traditionele bock; een typisch Nederlands (en Duits) seizoensbier die van oorsprong ondergistend wordt gebrouwen maar tegenwoordig ook bovengistend en in allerlei varianten verkrijgbaar is. Het is een roodbruin bier met een zoete moutigheid en veel karameltonen.";"8";"9.0";"7.5";"75";"100";"50";"1";"3";"6";"0";"7";"7";"Duitsland";"489";"Donkergekleurd, hoog alcohol";"24";"Donker & Elegant"
"264";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Brut IPA";"Een IPA (droog, blond, bitter en hoppig) waar enzymen en/of champagnegist aan wordt toegevoegd, wat ervoor zorgt dat de IPA nog droger wordt dan normaal. Dit geeft het bier extra frisheid.";"8";"12.0";"5.5";"20";"30";"10";"7";"5";"7";"1";"0";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"267";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Donkere Lager";"Een moutig ondergistend bier wat licht zoet is en iets meer body heeft dan zijn lichtgekleurde broertje. De relatief lage bitterheid zorgt ervoor dat de moutigheid mooi naar voren komt, de hop is er slechts voor balans.";"5";"6.0";"4.2";"36";"44";"28";"1";"4";"5";"0";"2";"34";"Tsjechië";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"270";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Cider";"Een cider is een drank van vergiste sap van appels. De smaak varieert vaak door het gebruikte appelras, de gebruikte gist en het proces.";"7";"9.0";"6.0";"12";"20";"4";"5";"3";"5";"2";"2";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"6";"Fris & Fruitig"
"273";"2021-02-22 13:50:53 +0100";"2021-02-22 13:50:53 +0100";"Fruitbier";"Een verzamelnaam voor allerhande bieren waar fruit aan is toegevoegd. De smaak en intensiteit is sterk afhankelijk van het gebruikte basisbier en de fruitsoort die is toegevoegd.";"8";"15.0";"2.5";"54";"100";"8";"7";"5";"7";"2";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"12";"Wild & Zuur"
"276";"2021-02-22 13:50:54 +0100";"2021-02-22 13:50:54 +0100";"Glutenvrij";"Een verzamelnaam voor allerhande bieren die geen gluten bevatten. Glutenvrij bier kan verkregen worden door te brouwen met glutenvrije granen, of door de gluten er naderhand uit te halen/neer te laten slaan.";"8";"15.0";"2.5";"54";"100";"8";"5";"5";"5";"1";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"27";"Overig"
"279";"2021-02-25 11:08:56 +0100";"2021-02-22 13:50:55 +0100";"Amerikaanse Stout";"Een redelijk sterk, flink geroosterd en ook flink hoppige, donkere stout. De smaken van koffie, cacao en karamel gaan samen met de fris-bittere Amerikaanse hop-smaken, die ook de bitterheid van dit bier flink opvoeren.";"6";"7.0";"5.0";"69";"79";"59";"2";"8";"7";"0";"3";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"282";"2021-02-22 13:50:55 +0100";"2021-02-22 13:50:55 +0100";"Engelse Barleywine";"Een pallet van smaken met veel moutigheid en andere intense smaken. Dik en stroperige body, alcoholwarmend en een prettige fruitige/hoppige toets. Echt een winterbier. Probeer deze eens te laten rijpen, hij kan richting port gaan.";"10";"12.0";"8.0";"30";"44";"16";"4";"4";"7";"0";"8";"19";"Groot Brittanië";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"285";"2021-02-25 11:08:34 +0100";"2021-02-22 13:50:55 +0100";"Mede - overig";"Overige uit honing gefermenteerde dranken die niet in de specifieke stijlcategorieën passen.";"10";"18.0";"3.5";"51";"99";"4";"1";"1";"7";"0";"9";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"18";"Intens & Uitdagend"
"288";"2021-02-22 13:50:55 +0100";"2021-02-22 13:50:55 +0100";"Rogge IPA";"Een variant op de IPA (droog, blond, bitter en hoppig) waarbij rogge een belangrijk onderdeel van het smaakprofiel is. Rogge geeft bier een voller, stroperiger mondgevoel en een licht-kruidige smaak af. Door dat vollere mondgevoel kan een Rogge IPA wat zoeter overkomen.";"7";"8.5";"5.5";"20";"30";"10";"7";"6";"6";"1";"4";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"291";"2021-02-22 13:50:56 +0100";"2021-02-22 13:50:56 +0100";"Kriek";"Een bier van spontane gisting, geproduceerd in de Zenne-vallei rondom Brussel. Het wordt gebrouwen met een groot deel tarwe, en door de spontane gisting is het bier licht-zurig van smaak. Hop-bitterheid is moeilijk tot niet waarneembaar. Het bier is lichtgekleurd en heeft allerlei ""funky"" aroma's en smaken. Een kriek is vaak een mengeling van verschillende jaren lambiek, waar krieken (zure kersjes) aan zijn toegevoegd, waardoor het bier rood kleurt en een mooi kersen-smaak en aroma krijgt.";"6";"7.0";"5.0";"10";"14";"6";"7";"0";"10";"7";"1";"31";"België";"480";"Overige stijlen of fermentaties";"12";"Wild & Zuur"
"294";"2021-02-22 13:50:56 +0100";"2021-02-22 13:50:56 +0100";"Engelse Brown Ale";"De Engelse variant van de brown ale, doet denken aan een porter maar dan zonder de licht geroosterde smaken. Subtiele fruitigheid van Engelse gisten en hoppen, karamel-tonen staan centraal.";"4";"5.4";"4.2";"34";"44";"24";"2";"4";"4";"0";"6";"19";"Groot Brittanië";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"297";"2021-02-22 13:50:57 +0100";"2021-02-22 13:50:57 +0100";"Scotch Ale";"Een klassieke Schotse bierstijl die qua samenstelling, smaak en aroma doet denken aan een Engelse barleywine. Het bier is iets lichter qua alcoholpercentage, en waar een barleywine wat meer gebalanceerd is tussen mout en hop, is de smaak van dit bier volledig op de (karamel)mout gebaseerd. Het bier hoort echter niet te zoet of plakkerig te zijn.";"8";"10.0";"6.5";"39";"50";"28";"2";"3";"6";"0";"7";"142";"Schotland";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"300";"2021-02-22 13:50:57 +0100";"2021-02-22 13:50:57 +0100";"Munich Dunkel";"Een ondergistende gefilterde bierstijl die met een groot aandeel Münchenermout gebrouwen wordt. Hierdoor is de kleur wat donkerder dan de gemiddelde lager, en is de smaak rijk en intens moutig/broodachtig. Het bier is niet zoet en hop- en gist-aroma's blijven op de achtergrond.";"5";"5.5";"4.5";"41";"55";"28";"1";"3";"3";"0";"2";"7";"Duitsland";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"303";"2021-02-22 13:50:58 +0100";"2021-02-22 13:50:58 +0100";"Rode IPA";"Een variant die tussen de IPA (droog, blond, bitter en hoppig) en de Brown IPA (droog, bruin, bitter, lkaramel en hoppig) in zit. De kleur is rood, soms worden er karamelmouten gebruikt. Dit bier smaakt als een Amerikaanse IPA, met wat meer moutigheid voor de balans tegen de bitters.";"6";"7.5";"5.5";"30";"38";"22";"6";"7";"6";"0";"4";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"15";"Bitter & Growl"
"306";"2021-02-22 13:50:58 +0100";"2021-02-22 13:50:58 +0100";"Metheglin";"Een gefermenteerde drank van een combinatie tussen water en honing waar kruiden en specerijen aan zijn toegevoegd. De smaak kan variëren van zoet tot droog en heeft overwegend een honing-karakter. Uiteraard zijn de toevoegingen ook  te proeven. Veelvoorkomende toevoegingen zijn gember, thee, nootmuskaat, koriander, kaneel, kruidnagel en vanille.";"10";"18.0";"3.5";"51";"99";"4";"2";"2";"8";"0";"7";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"18";"Intens & Uitdagend"
"309";"2021-02-22 13:50:59 +0100";"2021-02-22 13:50:59 +0100";"Donkere Europese Lager";"Een verzamelnaam voor donkergekleurde Europese ondergistende bieren die niet in hun specifieke klasse vallen. Deze zijn dus donker van kleur met een gebalanceerd aroma en smaak, waarbij de moutsmaak vaak iets de overhand neemt in het zoete met soms een lichte toast.";"5";"6.0";"4.2";"36";"44";"28";"1";"4";"5";"0";"2";"34";"Tsjechië";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"312";"2021-02-22 13:50:59 +0100";"2021-02-22 13:50:59 +0100";"Vlaams Bruin";"Een dieprood tot bruingekleurd Belgisch bier verkregen uit gemengde gisting en gerijpt op hout en/of RVS. De kleur wordt verkregen door gebruik van donkere mouten, de smaak is (licht) zuur, verfrissend en hoog in complexiteit.";"5";"6.5";"4.6";"26";"32";"20";"7";"3";"8";"7";"2";"31";"België";"483";"Lichtgekleurd, laag alcohol";"12";"Wild & Zuur"
"315";"2021-02-22 13:51:00 +0100";"2021-02-22 13:51:00 +0100";"Bière de Garde";"Een relatief sterk, moutig bier wat door een lange lagering mooie moutige tonen krijgt. Het is een klassiek Belgisch/Frans biertype. De smaak is voornamelijk moutig, clean en erg makkelijk drinkbaar.";"7";"8.5";"6.0";"25";"38";"12";"3";"3";"5";"0";"5";"40";"Frankrijk";"486";"Lichtgekleurd, hoog alcohol";"21";"Donker & Rijk"
"318";"2021-02-25 11:08:48 +0100";"2021-02-22 13:51:01 +0100";"Saison - farmhouse";"Een lichtgekleurd en droog Belgisch bier. Het bier is verfrissend, redelijk bitter, niet te hoog in alcohol en heeft flink wat koolzuur. De gebruikte gist is fruitig/kruidig, en om dit te complementeren worden vaak aanvullende kruiden gebruikt.";"6";"9.5";"3.5";"27";"44";"10";"4";"3";"5";"2";"4";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"321";"2021-02-22 13:51:01 +0100";"2021-02-22 13:51:01 +0100";"Melomel";"Een gefermenteerde drank van een combinatie tussen water en honing waar fruit aan is toegevoegd. De smaak kan variëren van zoet tot droog en heeft overwegend een honing-karakter. Uiteraard zijn de toevoegingen van de vruchten ook goed te proeven. Je kunt hierbij denken aan alles van framboos tot perzik, aarbei, zwarte bes, etc.";"10";"18.0";"3.5";"51";"99";"4";"7";"1";"8";"0";"9";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"18";"Intens & Uitdagend"
"324";"2021-02-22 13:51:01 +0100";"2021-02-22 13:51:01 +0100";"Brown Ale";"Een bruin bovengistend bier, oorsprong ligt in Engeland. De smaak is zoet met een klein bittertje, minimale hoppigheid en karamel/toffee tonen in geur en smaak.";"4";"5.4";"4.2";"34";"44";"24";"3";"4";"4";"0";"6";"19";"Groot Brittanië";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
